,title,author,date_read,date_added,rating,num_pages,avg_rating,read_count,date_published,date_started,cover_url,user_id
130,The Wind-Up Bird Chronicle,Haruki Murakami,2022-06-20,2022-05-15,3.0,607.0,4.15,1,1994-04-12,2022-05-15,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872639l/11275._SY75_.jpg,142394620
131,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,2022-05-07,2022-05-07,4.0,400.0,4.13,1,1985-06-15,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1399844477l/10374._SY75_.jpg,142394620
132,The Paper Menagerie and Other Stories,Ken Liu,2022-10-09,2022-05-06,4.0,450.0,4.37,1,2016-03-08,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511290092l/24885533._SY75_.jpg,142394620
133,Why Fish Don't Exist,Lulu Miller,2022-05-21,2022-05-06,3.0,225.0,4.18,1,2020-04-14,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565526670l/50887097._SY75_.jpg,142394620
134,Burn Rate: Launching a Startup and Losing My Mind,Andy Dunn,2022-07-10,2022-04-29,5.0,304.0,4.43,1,,2022-07-10,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1648412578l/58784468._SY75_.jpg,142394620
135,The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,,2022-04-25,,450.0,4.18,0,2006-04-11,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393804353l/3109._SY75_.jpg,142394620
136,The Stranger,Albert Camus,2022-03-27,2022-03-27,,159.0,4.02,1,1942-05-19,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1590930002l/49552._SY75_.jpg,142394620
137,The Body: A Guide for Occupants,Bill Bryson,,2022-03-25,,450.0,4.31,0,2019-10-15,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1565810646l/43582376._SX50_.jpg,142394620
138,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,2023-01-29,2022-03-25,4.0,368.0,4.38,1,2017-09-28,2022-03-27,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556604137l/34466963._SY75_.jpg,142394620
139,Ham on Rye,Charles Bukowski,,2022-03-20,,288.0,4.15,0,1982-09-01,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388195001l/38501._SY75_.jpg,142394620
